####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.450000,0.060000,0.000000]
#}
#{"csv": "
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX (px), steering %, speed setting 
18283, 11.816, 121.210, 11.937, 1184.200, 14016.000, 152, -68, 2
18291, 11.820, 121.600, 11.942, 1194.600, 13960.000, 152, -68, 2
18299, 11.900, 90.790, 11.991, 879.500, 10476.000, 120, -54, 2
18307, 11.920, 95.870, 12.016, 939.500, 11214.000, 120, -54, 2
18315, 11.900, 95.340, 11.995, 1058.300, 22076.000, 120, -54, 2
18323, 11.764, 131.660, 11.896, 1315.100, 15512.000, 120, -54, 2
18331, 11.824, 126.440, 11.950, 1176.300, 13884.000, 120, -54, 2
18339, 11.860, 118.070, 11.978, 1132.900, 12828.000, 144, -65, 2
18347, 11.908, 102.550, 12.011, 972.500, 11574.000, 144, -65, 2
18354, 11.916, 99.130, 12.015, 973.800, 11574.000, 144, -65, 2
18362, 11.704, 157.160, 11.861, 1511.300, 17928.000, 144, -65, 2
18370, 11.780, 135.380, 11.915, 1280.700, 15070.000, 144, -65, 2
18378, 11.800, 123.320, 11.923, 1297.900, 15310.000, 144, -65, 2
18386, 11.844, 110.750, 11.955, 1159.200, 13002.000, 144, -65, 2
18394, 11.872, 114.580, 11.987, 1011.100, 12012.000, 136, -61, 2
18402, 11.892, 95.780, 11.988, 1039.000, 12190.000, 136, -61, 2
18410, 11.908, 94.970, 12.003, 1042.300, 12374.000, 136, -61, 2
#}
