time (ms), packet_id, bus voltage (V), total_current (mA), power (mW), loop time (ms) 
46549,740,11.72,582.8,6828,43
46599,741,11.728,556.1,6520,43
46649,742,11.72,572.3,6620,43
46699,743,11.732,565.6,6632,43
46749,744,11.716,594.2,6996,43
46799,745,11.728,563.2,6606,43
46849,746,11.716,595,6970,43
46899,747,11.72,566.2,6668,43
46949,748,11.728,565.4,6630,43
46999,749,11.724,561.4,6586,43
47049,750,11.716,593.6,6956,43
47099,751,11.72,562.5,6596,43
47149,752,11.716,587.6,6946,43
47199,753,11.72,592.3,6938,43
47249,754,11.724,565.8,6682,43
47299,755,11.716,594,6960,43
47349,756,11.708,604.5,7078,43
47399,757,11.712,598.2,7064,43
47449,758,11.716,607.7,7118,43
47499,759,11.728,562.2,6682,43
47549,760,11.72,581.9,6820,43
47599,761,11.716,592.4,6940,43
47649,762,11.728,564.7,6566,43
47699,763,11.724,574.9,6740,43
47749,764,11.712,605.4,7114,43
47799,765,11.712,588.1,6888,43
47849,766,11.728,563.8,6596,43
47899,767,11.712,596,6982,43
47949,768,11.712,602.9,7062,43
47999,769,11.712,600.2,7022,43
48049,770,11.732,567.9,6662,43
48099,771,11.716,581.5,6938,43
